dataset,earliness_factor,entropy_factor,accuracy,earliness
Coffee,0.8,0.01,0.5357142857142857,0.0
OliveOil,0.7,0.1,0.43333333333333335,0.0
UWaveGestureLibraryX,0.8,0.01,0.8482142857142857,1.0
Beef,0.7,0.0,0.2,0.0
SyntheticControl,0.9,0.1,0.9833333333333333,0.558474600315094
SonyAIBORobotSurface2,0.9,0.0,1.0,0.32233795523643494
Fish,0.8,0.0,0.8914285714285715,1.0
Beef,0.9,0.1,0.9666666666666667,0.6039801836013794
FacesUCR,0.7,0.1,0.975,0.47888460755348206
FaceFour,0.8,0.01,1.0,1.0
Yoga,0.6,0.0,0.5433333333333333,0.00013333333481568843
Trace,0.8,0.01,0.78,0.22131386399269104
ECGFiveDays,0.7,0.0,0.8260869565217391,0.13880836963653564
StarLightCurves,0.9,0.01,0.935,0.3492434024810791
ECGFiveDays,0.8,0.0,0.8695652173913043,0.42673102021217346
CricketZ,0.6,0.1,0.8794871794871795,0.5072121024131775
ECG200,0.8,0.0,0.91,0.45947372913360596
Lightning2,0.6,0.01,0.75,0.10484800487756729
FaceAll,0.8,0.1,0.9464285714285714,0.5075686573982239
Fish,0.8,0.1,0.8,0.5620778799057007
OSULeaf,0.6,0.01,0.94,0.38394367694854736
MoteStrain,0.7,0.01,0.55,0.0
NonInvasiveFatalECGThorax1,0.6,0.1,0.8005555555555556,0.3329409658908844
MedicalImages,0.8,0.01,0.8556430446194225,0.4706733226776123
WordSynonyms,0.9,0.1,0.2209737827715356,0.0
ChlorineConcentration,0.6,0.1,0.5674518201284796,0.22447599470615387
NonInvasiveFatalECGThorax1,0.6,0.01,0.7694444444444445,0.1616065949201584
UWaveGestureLibraryY,0.6,0.1,0.5691964285714286,0.4385840892791748
InlineSkate,0.8,0.01,0.27,0.10058480501174927
Fish,0.9,0.1,0.8228571428571428,0.5868645310401917
WordSynonyms,0.7,0.1,0.8089887640449438,1.0
ChlorineConcentration,0.6,0.0,0.5610278372591007,0.0
SwedishLeaf,0.6,0.0,0.808,0.2902992069721222
Fish,0.9,0.01,0.8628571428571429,0.6310822367668152
FacesUCR,0.9,0.0,0.995,1.0
SonyAIBORobotSurface1,0.6,0.0,0.75,0.06666666269302368
NonInvasiveFatalECGThorax1,0.6,0.0,0.7866666666666666,0.15074394643306732
