dataset,earliness_factor,entropy_factor,ptsepsilon,accuracy,earliness
Coffee,0.9,0.01,5,0.5357142857142857,0.0
SwedishLeaf,0.7,0.01,10,0.8144,0.44090723991394043
CBF,0.6,0.1,0,0.8077777777777778,0.4327229857444763
SonyAIBORobotSurface1,0.9,0.1,0,0.8402662229617305,0.40099161863327026
ECG200,0.9,0.01,5,0.79,0.4862939119338989
UWaveGestureLibraryX,0.7,0.0,0,0.7936906756002233,1.0
CBF,0.9,0.01,10,0.8233333333333334,1.0
Trace,0.8,0.01,10,0.72,0.30597057938575745
DiatomSizeReduction,0.9,0.0,0,0.9607843137254902,1.0
TwoPatterns,0.9,0.0,0,0.999,1.0
MedicalImages,0.8,0.1,10,0.7039473684210527,0.5136364102363586
SonyAIBORobotSurface2,0.6,0.01,10,0.770199370409234,0.2594147324562073
Yoga,0.6,0.1,10,0.7246666666666667,0.3304210901260376
SwedishLeaf,0.6,0.0,10,0.7824,0.29060906171798706
Adiac,0.8,0.01,0,0.40664961636828645,0.4030769467353821
OSULeaf,0.9,0.01,0,0.6487603305785123,1.0
FaceFour,0.8,0.0,0,0.8863636363636364,1.0
MoteStrain,0.8,0.0,0,0.5391373801916933,0.0
InlineSkate,0.8,0.01,20,0.18545454545454546,0.22716164588928223
Symbols,0.8,0.1,0,0.8321608040201005,0.5683674812316895
InlineSkate,0.9,0.01,20,0.18727272727272729,0.06452592462301254
TwoLeadECG,0.9,0.1,0,0.8814749780509219,0.5245769023895264
Haptics,0.9,0.01,10,0.4155844155844156,0.5549072027206421
CricketY,0.6,0.01,5,0.6615384615384615,0.45495936274528503
